City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Tuktoyaktuk,CA,2020-12-30 00:00:33,69.45,-133.04,-9.4,83,90,8.05
94,Poum,NC,2020-12-30 00:00:33,-20.23,164.02,81.91,79,38,23.51
95,Bluff,NZ,2020-12-30 00:00:34,-46.6,168.33,62.01,72,99,5.01
96,Georgetown,MY,2020-12-30 00:00:34,5.41,100.34,77.0,88,20,3.36
97,Jalu,LY,2020-12-30 00:00:34,29.03,21.55,53.6,53,0,9.55
98,Marawi,PH,2020-12-30 00:00:35,8.0,124.29,73.51,82,90,0.92
99,Puerto Ayora,EC,2020-12-30 00:00:35,-0.74,-90.35,73.0,92,96,7.0
100,Coahuayana,MX,2020-12-30 00:00:36,18.73,-103.68,78.8,50,5,9.17
101,Cayenne,GF,2020-12-30 00:00:36,4.93,-52.33,77.0,100,0,1.12
102,Maraa,BR,2020-12-30 00:00:37,-1.83,-65.37,71.15,98,100,3.02
103,Ribeira Grande,PT,2020-12-30 00:00:37,38.52,-28.7,58.21,71,100,11.99
104,East London,ZA,2020-12-30 00:00:37,-33.02,27.91,71.67,82,100,15.95
105,Manokwari,ID,2020-12-30 00:00:38,-0.87,134.08,83.17,71,100,1.92
106,Qaanaaq,GL,2020-12-30 00:00:38,77.48,-69.36,7.02,83,46,3.22
107,Chuy,UY,2020-12-30 00:00:38,-33.7,-53.46,69.55,86,1,8.37
108,Alofi,NU,2020-12-30 00:00:39,-19.06,-169.92,82.4,83,93,5.82
109,Karratha,AU,2020-12-30 00:00:39,-20.74,116.85,89.4,54,51,9.1
110,Atar,MR,2020-12-30 00:00:39,20.52,-13.05,69.19,34,50,2.17
111,Quiindy,PY,2020-12-30 00:00:40,-25.97,-57.27,79.48,78,28,3.0
112,Kut Chap,TH,2020-12-30 00:00:40,17.43,102.57,73.0,78,75,2.24
113,Kendari,ID,2020-12-30 00:00:13,-3.94,122.5,79.16,87,100,2.84
114,Sangar,RU,2020-12-30 00:00:40,63.92,127.47,-32.01,83,74,1.59
115,Haines Junction,CA,2020-12-30 00:00:41,60.75,-137.51,20.03,94,100,0.74
116,Ukiah,US,2020-12-30 00:00:41,39.15,-123.21,59.0,38,1,1.72
117,Kodiak,US,2020-12-30 00:00:42,57.79,-152.41,39.2,93,90,17.22
118,Yellowknife,CA,2020-12-30 00:00:42,62.46,-114.35,-2.2,77,90,3.36
119,Loncoche,CL,2020-12-30 00:00:42,-39.37,-72.63,60.8,63,40,12.75
120,Zyryanka,RU,2020-12-30 00:00:43,65.75,150.85,-32.93,83,98,11.25
121,Mandalgovi,MN,2020-12-30 00:00:43,45.76,106.27,-11.36,78,0,16.35
122,Cobija,BO,2020-12-30 00:00:43,-11.03,-68.77,74.12,96,100,1.05
123,Black River,JM,2020-12-30 00:00:44,18.03,-77.85,78.8,74,40,17.22
124,Klaksvik,FO,2020-12-30 00:00:45,62.23,-6.59,35.6,82,100,19.46
125,Marsaxlokk,MT,2020-12-30 00:00:45,35.84,14.54,60.01,77,20,10.29
126,Luanda,AO,2020-12-29 23:57:38,-8.84,13.23,78.8,83,40,8.05
127,Raudeberg,NO,2020-12-30 00:00:46,61.99,5.14,37.0,72,91,5.68
