City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Cairns,AU,87.01,heavy intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
474,Ahuimanu,US,82.4,broken clouds,21.4447,-157.8378,Paradise Bay Resort
482,Faanui,PF,81.16,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
489,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
493,Pemangkat,ID,79.97,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
498,Manggar,ID,81.55,overcast clouds,-2.8833,108.2667,Guest Hotel
500,Portobelo,PA,79.0,overcast clouds,9.55,-79.65,Scuba Portobelo
501,Kailua,US,82.4,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
505,Katherine,AU,89.6,clear sky,-14.4667,132.2667,Pine Tree Motel
516,Isangel,VU,83.52,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
519,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
522,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
525,Caucaia,BR,81.0,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
527,Barra Do Garcas,BR,75.87,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
532,Kefamenanu,ID,83.57,few clouds,-9.4467,124.4781,Sokowindo Losmen
534,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
536,Payo,ID,78.94,light rain,-3.7508,103.6372,Mess keban agung
538,Conceicao Do Araguaia,BR,76.48,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
550,San Cosme Y Damian,PY,80.6,clear sky,-27.3167,-56.35,Posada Turística Aguapey
554,Jalingo,NG,76.78,clear sky,8.8833,11.3667,Debright Motel
555,San Policarpo,PH,82.74,overcast clouds,12.1791,125.5072,JM Lodge
564,Ugoofaaru,MV,80.56,overcast clouds,5.6667,73.0,Ungoofaaru Inn
