City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Srandakan,ID,-7.9386,110.2506,81.54,75,66,4.18,broken clouds
193,Touros,BR,-5.1989,-35.4608,78.8,78,20,6.93,few clouds
194,Gladstone,AU,-23.85,151.25,86.0,55,100,9.17,light rain
195,Charters Towers,AU,-20.1,146.2667,76.69,86,100,13.82,overcast clouds
196,Norman Wells,CA,65.282,-126.8329,-25.6,74,20,4.7,few clouds
197,Gao,ML,16.6362,1.637,74.3,20,0,7.56,clear sky
198,Flinders,AU,-34.5833,150.8552,75.99,64,75,17.22,broken clouds
199,Narsaq,GL,60.9167,-46.05,23.0,45,20,5.82,few clouds
200,Fairbanks,US,64.8378,-147.7164,-4.0,83,20,2.35,few clouds
201,Ostrovnoy,RU,68.0531,39.5131,16.79,95,3,24.38,clear sky
202,Nome,US,64.5011,-165.4064,5.0,77,90,4.7,light snow
203,Mana,GF,5.6592,-53.7767,78.15,88,99,8.32,overcast clouds
204,Dingle,PH,10.9995,122.6711,80.64,81,52,14.81,broken clouds
205,Hervey Bay,AU,-25.2986,152.8535,90.0,55,75,3.36,broken clouds
206,Ceres,US,37.5949,-120.9577,50.0,87,1,10.29,clear sky
207,Giyani,ZA,-23.3025,30.7187,75.22,62,100,2.66,overcast clouds
208,Banjar,ID,-8.19,114.9675,80.6,88,40,3.36,scattered clouds
209,Seoul,KR,37.5683,126.9778,15.8,56,1,4.54,clear sky
210,Atambua,ID,-9.1061,124.8925,83.25,72,30,2.19,scattered clouds
211,Margate,GB,51.3813,1.3862,43.0,80,100,1.99,moderate rain
212,Namibe,AO,-15.1961,12.1522,71.28,74,13,6.42,few clouds
213,Pandan,PH,14.0453,124.1694,80.06,84,70,14.74,broken clouds
214,Mildura,AU,-34.2,142.15,70.0,48,0,13.87,clear sky
215,Bundaberg,AU,-24.85,152.35,90.0,55,75,3.36,broken clouds
216,Saldanha,ZA,-33.0117,17.9442,62.6,88,0,4.7,clear sky
217,Dunedin,NZ,-45.8742,170.5036,60.01,83,95,5.01,overcast clouds
218,Yumen,CN,40.2833,97.2,0.86,72,58,12.62,broken clouds
219,Sefophe,BW,-22.1833,27.9667,75.07,58,1,4.9,clear sky
220,Nishihara,JP,26.1842,127.7558,64.4,68,75,12.75,light rain
221,Sinnai,IT,39.3042,9.2036,46.0,100,20,4.7,few clouds
222,Esperance,AU,-33.8667,121.9,64.4,52,75,11.41,broken clouds
223,Cascais,PT,38.6979,-9.4215,44.01,72,0,8.01,clear sky
224,Kavieng,PG,-2.5744,150.7967,79.18,88,100,11.68,light rain
225,Lebu,CL,-37.6167,-73.65,56.88,80,0,18.99,clear sky
226,Mpongwe,ZM,-13.5091,28.155,63.63,96,93,1.1,light rain
227,Vardo,NO,70.3705,31.1107,27.68,96,89,23.2,overcast clouds
228,Port-Gentil,GA,-0.7193,8.7815,80.47,80,100,13.94,moderate rain
229,Qaqortoq,GL,60.7167,-46.0333,23.0,45,20,5.82,few clouds
230,Bandarbeyla,SO,9.4942,50.8122,72.39,71,0,17.78,clear sky
231,Udachnyy,RU,66.4167,112.4,-0.4,84,90,2.24,light shower snow
232,Harper,LR,4.375,-7.7169,79.05,84,100,8.57,overcast clouds
233,Rabo De Peixe,PT,37.8,-25.5833,55.4,71,75,14.99,broken clouds
234,Amahai,ID,-3.3333,128.9167,84.09,70,100,1.19,overcast clouds
235,Jurm,AF,36.8648,70.8342,23.47,71,11,2.17,few clouds
236,Pangnirtung,CA,66.1451,-65.7125,7.12,90,100,2.59,light snow
237,Karatau,KZ,43.1667,70.4667,8.89,90,100,1.3,overcast clouds
238,Ahipara,NZ,-35.1667,173.1667,73.78,57,100,6.78,overcast clouds
239,Gobabis,NA,-22.45,18.9667,68.0,88,96,1.12,moderate rain
240,Sitka,US,57.0531,-135.33,44.6,70,90,26.4,light rain
241,Vanimo,PG,-2.6741,141.3028,85.46,64,99,6.67,overcast clouds
242,Cap Malheureux,MU,-19.9842,57.6142,73.0,87,36,3.0,light rain
243,Sangar,RU,63.9242,127.4739,-49.56,76,71,4.5,broken clouds
244,Tonj,SS,7.2737,28.6822,73.9,31,0,4.45,clear sky
245,Gonbad-E Qabus,IR,37.25,55.1672,39.2,93,90,3.62,overcast clouds
246,Talnakh,RU,69.4865,88.3972,-9.4,83,90,20.13,light snow
247,San Patricio,US,28.017,-97.5169,69.8,83,75,11.41,broken clouds
248,Quatre Cocos,MU,-20.2078,57.7625,75.2,88,40,8.05,light rain
249,Upernavik,GL,72.7868,-56.1549,3.25,92,100,8.55,light snow
250,Nanortalik,GL,60.1432,-45.2371,26.2,89,20,6.38,few clouds
251,Bonavista,CA,48.6499,-53.1147,37.0,96,100,9.17,moderate rain
252,Nushki,PK,29.5542,66.0215,33.4,79,0,1.41,clear sky
253,Puerto Escondido,MX,15.85,-97.0667,75.2,73,20,2.51,light rain
254,Roald,NO,62.5833,6.1333,33.8,64,0,8.05,clear sky
255,Pimentel,PE,-6.8367,-79.9342,71.6,78,0,18.34,clear sky
256,Axim,GH,4.8699,-2.2405,79.54,86,100,9.15,overcast clouds
257,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,9.17,broken clouds
258,Eyl,SO,7.9803,49.8164,70.25,71,0,16.42,clear sky
259,Meulaboh,ID,4.1363,96.1285,78.15,80,100,3.49,overcast clouds
260,Saint George,US,37.1041,-113.5841,53.6,27,1,12.75,clear sky
261,Ternovka,RU,51.678,41.6375,16.36,95,100,10.63,overcast clouds
262,Thompson,CA,55.7435,-97.8558,8.6,84,75,3.36,broken clouds
263,Dawei,MM,14.0833,98.2,76.8,61,94,3.87,overcast clouds
264,Santa Isabel,BR,-23.3156,-46.2214,77.0,73,0,4.7,clear sky
265,Beipiao,CN,41.7919,120.7792,-3.91,68,0,18.34,clear sky
266,Longyearbyen,SJ,78.2186,15.6401,19.4,79,75,9.17,light snow
267,Cabo Rojo,PR,18.0866,-67.1457,73.99,94,64,6.22,broken clouds
268,Saryozek,KZ,44.3583,77.9753,8.31,83,100,4.76,overcast clouds
269,Tecoanapa,MX,16.5167,-98.75,78.04,81,0,6.46,clear sky
270,Salta,AR,-24.7859,-65.4117,69.8,68,40,5.82,heavy intensity rain
271,Lasa,IT,46.6166,10.7002,34.0,79,40,8.05,light snow
272,Grindavik,IS,63.8424,-22.4338,35.6,64,20,17.22,few clouds
273,Leningradskiy,RU,69.3833,178.4167,-9.04,87,100,10.2,overcast clouds
274,Shelburne,CA,44.0787,-80.2041,30.99,92,98,3.42,overcast clouds
275,Makaryev,RU,57.8797,43.8069,22.21,98,100,3.8,overcast clouds
276,Hofn,IS,64.2539,-15.2082,36.99,81,100,4.68,light rain
277,Granada,ES,37.25,-3.25,37.99,72,95,0.69,overcast clouds
278,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,76.26,52,0,7.92,clear sky
279,Saint-Joseph,RE,-21.3667,55.6167,75.2,73,90,5.82,overcast clouds
280,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.4,85,90,2.24,light shower snow
281,Araouane,ML,18.9048,-3.5265,68.59,22,2,7.56,clear sky
282,Maunabo,PR,18.0072,-65.8993,73.99,94,42,7.45,scattered clouds
283,Amga,RU,60.8953,131.9608,-32.46,81,100,2.37,overcast clouds
284,Durant,US,33.994,-96.3708,55.0,55,100,5.99,overcast clouds
285,Diego De Almagro,CL,-26.3667,-70.05,59.49,60,0,2.64,clear sky
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.15,87,100,18.3,overcast clouds
287,Kindu,CD,-2.95,25.95,70.74,90,100,1.88,overcast clouds
288,Darhan,MN,49.4867,105.9228,-19.03,81,100,8.59,overcast clouds
289,Rafai,CF,4.95,23.9167,74.08,44,93,0.89,overcast clouds
290,San Buenaventura,MX,27.0833,-101.5333,64.99,30,100,1.9,overcast clouds
291,Laguna,US,38.421,-121.4238,54.0,71,1,5.82,clear sky
292,Komsomolskiy,UZ,40.4272,71.7189,23.0,79,90,4.7,mist
293,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.4,85,1,3.36,clear sky
294,Caravelas,BR,-17.7125,-39.2481,74.98,85,0,5.66,clear sky
295,Sebastian,US,35.1668,-94.2669,48.0,61,1,3.36,clear sky
296,Bayan,CN,46.0833,127.4,-9.0,90,100,1.81,overcast clouds
297,Portland,US,45.5234,-122.6762,48.99,66,90,9.17,overcast clouds
298,Milkovo,RU,54.7167,158.6167,2.82,91,100,0.69,overcast clouds
299,Marzuq,YE,14.4,46.4667,52.81,44,0,1.88,clear sky
300,Shimoda,JP,34.6667,138.95,48.2,81,75,14.99,broken clouds
301,Marawi,PH,7.9986,124.2928,75.67,77,100,2.84,light rain
302,Rybachiy,RU,48.7073,44.7449,17.6,72,75,15.66,broken clouds
303,Ambilobe,MG,-13.2,49.05,73.47,92,99,2.37,overcast clouds
304,Blagoyevo,RU,63.3667,47.9167,6.87,95,80,4.09,broken clouds
305,Srikakulam,IN,18.3,83.9,66.81,77,97,6.78,overcast clouds
306,Palamas,GR,39.4667,22.0833,39.2,93,20,4.7,few clouds
307,Juneau,US,58.3019,-134.4197,39.2,80,90,21.92,snow
308,Two Hills,CA,53.7169,-111.7518,23.0,85,52,8.05,broken clouds
309,Linjiang,CN,41.8069,126.9078,3.24,76,99,2.93,overcast clouds
310,Revelstoke,CA,50.9832,-118.2023,35.6,93,90,13.87,light rain
311,Waipawa,NZ,-41.4122,175.5153,73.99,77,99,9.17,overcast clouds
312,Port-Cartier,CA,50.0334,-66.8654,21.2,85,100,4.7,overcast clouds
313,Vestmannaeyjar,IS,63.4427,-20.2734,37.85,77,82,25.01,broken clouds
314,Yerbogachen,RU,61.2767,108.0108,-16.46,88,100,7.49,overcast clouds
315,Sao Filipe,CV,14.8961,-24.4956,75.13,73,100,2.95,overcast clouds
316,Kankon,IN,15.0167,74.0167,78.8,78,75,5.82,mist
317,Auki,SB,-8.7676,160.7034,88.21,52,93,0.96,overcast clouds
318,Bessonovka,RU,53.3097,45.0407,18.0,35,62,7.99,broken clouds
319,Gazanjyk,TM,39.2446,55.5154,30.11,93,58,11.74,broken clouds
320,Hamilton,US,39.1834,-84.5333,35.6,80,90,7.54,light rain
321,Calama,CL,-22.4667,-68.9333,62.6,39,20,23.04,few clouds
322,Shubarshi,KZ,48.5872,57.1869,0.54,83,33,4.7,scattered clouds
323,Galanta,SK,48.19,17.7275,37.99,91,87,1.99,overcast clouds
324,Luanshya,ZM,-13.1367,28.4166,62.89,96,98,1.83,overcast clouds
325,Aleksin,RU,54.51,37.08,24.8,92,100,8.95,overcast clouds
326,Fountain Hills,US,33.6117,-111.7174,64.4,23,1,3.36,clear sky
327,Omboue,GA,-1.5746,9.2618,77.79,88,100,10.22,moderate rain
328,Tigil,RU,57.8,158.6667,-8.93,87,26,1.86,scattered clouds
